Source,Main Measure,Detailed Measure,Region,Age,Race,Units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LUV-it,Population,Household Population,Region,NA,NA,Thousands,4053.154,4131.766,4210.378,4262.7786,4315.1792,4367.5798,4419.9804,4472.381,4524.7134,4577.0458,4629.3782,4681.7106,4734.043,4786.4356,4838.8282,4891.2208,4943.6134,4996.006,5048.3724,5100.7388,5153.1052,5205.4716,5257.838,5310.225,5362.612,5414.999,5467.386,5519.7515,5572.117,5624.4825,5676.848,5729.2135,5781.579
LUV-it,Population,Household Population,King County,NA,NA,Thousands,2149.101,2187.4585,2225.816,2251.1938,2276.5716,2301.9494,2327.3272,2352.705,2378.0498,2403.3946,2428.7394,2454.0842,2479.429,2504.7812,2530.1334,2555.4856,2580.8378,2606.19,2631.5372,2656.8844,2682.2316,2707.5788,2732.926,2758.277,2783.628,2808.979,2834.33,2859.693667,2885.057333,2910.421,2935.784667,2961.148333,2986.512
LUV-it,Population,Household Population,Kitsap County,NA,NA,Thousands,257.156,262.216,267.276,270.1736,273.0712,275.9688,278.8664,281.764,284.6586,287.5532,290.4478,293.3424,296.237,299.138,302.039,304.94,307.841,310.742,313.606,316.47,319.334,322.198,325.062,327.96,330.858,333.756,336.654,339.5421667,342.4303333,345.3185,348.2066667,351.0948333,353.983
LUV-it,Population,Household Population,Pierce County,NA,NA,Thousands,851.944,874.9495,897.955,909.3124,920.6698,932.0272,943.3846,954.742,966.0894,977.4368,988.7842,1000.1316,1011.479,1022.8378,1034.1966,1045.5554,1056.9142,1068.273,1079.626,1090.979,1102.332,1113.685,1125.038,1136.3895,1147.741,1159.0925,1170.444,1181.806,1193.168,1204.53,1215.892,1227.254,1238.616
LUV-it,Population,Household Population,Snohomish County,NA,NA,Thousands,794.953,807.142,819.331,832.0988,844.8666,857.6344,870.4022,883.17,895.9156,908.6612,921.4068,934.1524,946.898,959.6786,972.4592,985.2398,998.0204,1010.801,1023.6032,1036.4054,1049.2076,1062.0098,1074.812,1087.5985,1100.385,1113.1715,1125.958,1138.709667,1151.461333,1164.213,1176.964667,1189.716333,1202.468
LUV-it,Households,Households,Region,NA,NA,Thousands,1605.263,1637.7495,1670.236,1695.2146,1720.1932,1745.1718,1770.1504,1795.129,1820.1082,1845.0874,1870.0666,1895.0458,1920.025,1945.005,1969.985,1994.965,2019.945,2044.925,2069.9028,2094.8806,2119.8584,2144.8362,2169.814,2194.79175,2219.7695,2244.74725,2269.725,2294.704667,2319.684333,2344.664,2369.643667,2394.623333,2419.603
LUV-it,Households,Households,King County,NA,NA,Thousands,884.613,901.203,917.793,930.1134,942.4338,954.7542,967.0746,979.395,991.7174,1004.0398,1016.3622,1028.6846,1041.007,1053.3286,1065.6502,1077.9718,1090.2934,1102.615,1114.9352,1127.2554,1139.5756,1151.8958,1164.216,1176.537,1188.858,1201.179,1213.5,1225.822,1238.144,1250.466,1262.788,1275.11,1287.432
LUV-it,Households,Households,Kitsap County,NA,NA,Thousands,101.86,103.8325,105.805,107.2802,108.7554,110.2306,111.7058,113.181,114.6566,116.1322,117.6078,119.0834,120.559,122.0342,123.5094,124.9846,126.4598,127.935,129.4102,130.8854,132.3606,133.8358,135.311,136.7865,138.262,139.7375,141.213,142.6881667,144.1633333,145.6385,147.1136667,148.5888333,150.064
LUV-it,Households,Households,Pierce County,NA,NA,Thousands,323.876,331.8465,339.817,345.1658,350.5146,355.8634,361.2122,366.561,371.9106,377.2602,382.6098,387.9594,393.309,398.6578,404.0066,409.3554,414.7042,420.053,425.402,430.751,436.1,441.449,446.798,452.1475,457.497,462.8465,468.196,473.5448333,478.8936667,484.2425,489.5913333,494.9401667,500.289
LUV-it,Households,Households,Snohomish County,NA,NA,Thousands,294.914,300.8675,306.821,312.6552,318.4894,324.3236,330.1578,335.992,341.8236,347.6552,353.4868,359.3184,365.15,370.9844,376.8188,382.6532,388.4876,394.322,400.1554,405.9888,411.8222,417.6556,423.489,429.32075,435.1525,440.98425,446.816,452.6496667,458.4833333,464.317,470.1506667,475.9843333,481.818
LUV-it,Employment,Manuf,Region,NA,NA,Thousands,178.854,184.233,189.612,190.0022,190.3924,190.7826,191.1728,191.563,191.699,191.835,191.971,192.107,192.243,191.5516,190.8602,190.1688,189.4774,188.786,187.7066,186.6272,185.5478,184.4684,183.389,181.9305,180.472,179.0135,177.555,176.1145,174.674,173.2335,171.793,170.3525,168.912
LUV-it,Employment,Manuf,King County,NA,NA,Thousands,100.595,103.5205,106.446,106.1962,105.9464,105.6966,105.4468,105.197,104.889,104.581,104.273,103.965,103.657,102.8694,102.0818,101.2942,100.5066,99.719,98.8272,97.9354,97.0436,96.1518,95.26,94.19175,93.1235,92.05525,90.987,90.03583333,89.08466667,88.1335,87.18233333,86.23116667,85.28
LUV-it,Employment,Manuf,Kitsap County,NA,NA,Thousands,2.858,2.8555,2.853,2.8906,2.9282,2.9658,3.0034,3.041,3.0648,3.0886,3.1124,3.1362,3.16,3.1934,3.2268,3.2602,3.2936,3.327,3.3618,3.3966,3.4314,3.4662,3.501,3.51575,3.5305,3.54525,3.56,3.578666667,3.597333333,3.616,3.634666667,3.653333333,3.672
LUV-it,Employment,Manuf,Pierce County,NA,NA,Thousands,17.663,18.328,18.993,19.169,19.345,19.521,19.697,19.873,20.0084,20.1438,20.2792,20.4146,20.55,20.6084,20.6668,20.7252,20.7836,20.842,20.8426,20.8432,20.8438,20.8444,20.845,20.82175,20.7985,20.77525,20.752,20.66216667,20.57233333,20.4825,20.39266667,20.30283333,20.213
LUV-it,Employment,Manuf,Snohomish County,NA,NA,Thousands,57.738,59.529,61.32,61.7464,62.1728,62.5992,63.0256,63.452,63.7368,64.0216,64.3064,64.5912,64.876,64.8804,64.8848,64.8892,64.8936,64.898,64.675,64.452,64.229,64.006,63.783,63.40125,63.0195,62.63775,62.256,61.83783333,61.41966667,61.0015,60.58333333,60.16516667,59.747
LUV-it,Employment,Public GovEd,Region,NA,NA,Thousands,300.769,316.0135,331.258,332.9188,334.5796,336.2404,337.9012,339.562,342.3462,345.1304,347.9146,350.6988,353.483,356.1034,358.7238,361.3442,363.9646,366.585,368.306,370.027,371.748,373.469,375.19,376.85375,378.5175,380.18125,381.845,383.3995,384.954,386.5085,388.063,389.6175,391.172
LUV-it,Employment,Public GovEd,King County,NA,NA,Thousands,170.647,177.4695,184.292,184.718,185.144,185.57,185.996,186.422,187.0744,187.7268,188.3792,189.0316,189.684,190.1932,190.7024,191.2116,191.7208,192.23,192.447,192.664,192.881,193.098,193.315,193.5965,193.878,194.1595,194.441,194.8215,195.202,195.5825,195.963,196.3435,196.724
LUV-it,Employment,Public GovEd,Kitsap County,NA,NA,Thousands,31.362,33.479,35.596,35.8302,36.0644,36.2986,36.5328,36.767,37.1624,37.5578,37.9532,38.3486,38.744,39.137,39.53,39.923,40.316,40.709,41.0018,41.2946,41.5874,41.8802,42.173,42.45075,42.7285,43.00625,43.284,43.49816667,43.71233333,43.9265,44.14066667,44.35483333,44.569
