Source,Main Measure,Detailed Measure,Region,Age,Race,Gender,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military,King County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,1575.33857001427,1590.46656783155,1610.69195532963,1630.91756134293,1651.91991081784,1672.92133012776,1693.9223460197,1714.92410597302,1735.92562250394,1757.61270079684,1779.3011606306,1800.9849516917,1822.67446858083,1844.36158379949,1867.18182567278,1890.00131999878,1912.82059592967,1935.63999916918,1958.46017328221,1982.19697018828,2005.93063262157,2029.66639243831,2053.40046128097,2076.99891220838,2100.5979205275,2124.19856680942,2147.79672342649,2171.39565531834,2194.99462106184,2222.75076068975,2250.80681804982,2279.96494940604,2309.58514555811,2339.45048295973,2369.5501107892,2399.5003656507,2429.38742810797,2458.9952877426,2488.13900606256
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military,Kitsap County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,107.179286375163,110.829644739054,112.732801594542,114.632908656912,116.47345484139,118.31475949554,120.157688892038,121.999048445489,123.839292768313,125.733428687473,127.628918535731,129.522661634912,131.41812980353,133.311957655917,135.263176986161,137.215069277184,139.166150513604,141.118024942457,143.069108026221,145.100995313386,147.133610382258,149.164687040673,151.196539496182,153.286544107299,155.37722343472,157.468684066323,159.555437315597,161.646116012717,163.736085745254,164.755716350746,165.754064561695,166.764432554303,167.762323312807,168.715816212537,169.66831922298,170.607858356195,171.531048507031,172.43705289534,173.30123053068
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military,Pierce County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,386.702769564702,391.154031816858,397.283203653568,403.413174471155,409.488197781329,415.561418456134,421.635711009232,427.709217795097,433.783261637832,439.764790531106,445.747455290244,451.729030911281,457.711638996537,463.692299037477,469.9548265523,476.215508392152,482.477650066216,488.738245708752,495.000411014792,501.481330538204,507.964873020339,514.444726275055,520.924543631943,527.575241246761,534.226523540188,540.877798457001,547.526661650473,554.178732557042,560.828916593939,565.746943902761,570.707841222134,575.789059172237,580.922193949815,586.031321606768,591.08489575042,596.122262587323,601.166235863395,606.106667689151,610.906334681426
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military,Region,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,2377.77133104249,2410.19128144698,2444.97956614258,2479.76539776424,2515.15962518431,2550.55093353691,2585.94477043517,2621.33692756247,2656.72826134741,2692.87882077021,2729.03364095426,2765.17958106753,2801.33539295501,2837.48413370551,2875.47674884245,2913.46560039751,2951.45637791989,2989.44496661793,3027.43667155875,3066.87441188803,3106.31253841478,3145.74458192232,3185.17810984243,3225.04477850323,3264.91382605676,3304.78445548684,3344.6429534895,3384.51432106265,3424.37937969754,3462.41035337353,3500.87506230611,3540.68746547318,3580.98151465821,3621.38765797142,3661.92784330941,3702.14806302143,3742.14482721198,3781.60284981016,3820.24726879525
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military,Snohomish County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,308.550704983633,317.247653466661,323.580809984496,329.913645094732,336.211450707533,342.508356898859,348.805427191056,355.102491193302,361.399571853883,367.812463954223,374.225700190816,380.637626467482,387.050893843999,393.46316886848,400.237201081264,407.009501980846,413.783200251638,420.555437655198,427.329154494619,434.32890801706,441.328726711349,448.325897699502,455.325291157901,462.636131134719,469.947483211705,477.258070844925,484.566399265746,491.879242403845,499.188627223935,503.637627367854,508.196485733089,512.878395704945,517.549538793478,522.165894126726,526.746005788102,531.192223507246,535.497425655357,539.669792817862,543.680932919103
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military REMI,King County,All Ages,All Races,Total,Thousands,1414.6689453125,1373.29479980469,1365.11804199219,1386.66809082031,1416.61083984375,1460.93957519531,1503.40124511719,1523.5322265625,1457.77197265625,1441.77575683594,1468.30883789062,1514.28088378906,1555.43981933594,1608.18701171875,1660.81018066406,1711.56884765625,1767.09680175781,1815.16284179687,1841.08874511719,1762.36987304687,1807.96276855469,1922.19799804687,1940.65689169191,1965.33552274846,1990.0144204331,2015.64108563599,2041.26661586935,2066.89165385979,2092.51759973971,2118.14324860028,2144.60540681286,2171.06925075517,2197.52739795037,2223.99253169144,2250.45473496013,2278.2995577041,2306.14346830516,2333.98711242468,2361.83091188375,2389.67565194794,2418.63883761569,2447.5981986597,2476.56011889088,2505.51997582782,2534.314354378,2563.10941304687,2591.90647032663,2620.70048976495,2649.49545517874,2678.29046189766,2712.157972693,2746.39143736982,2781.96963166186,2818.11162858177,2854.55274216655,2891.27973245109,2927.82446069655,2964.2920827788,3000.41902691603,3035.97963469684
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military REMI,Kitsap County,All Ages,All Races,Total,Thousands,113.167022705078,117.077003479004,119.294982910156,121.923004150391,124.983001708984,127.057006835938,127.592994689941,127.47599029541,123.183990478516,120.814994812012,120.713996887207,121.379013061523,121.570014953613,124.393997192383,127.314010620117,131.353988647461,132.189010620117,131.633987426758,131.63200378418,128.029998779297,131.252990722656,136.672012329102,141.326846674323,143.753698783666,146.17666188258,148.523674624731,150.871654546083,153.221706293192,155.569756220588,157.916384037246,160.331732902234,162.748808259538,165.163656211533,167.580703923569,169.99565995047,172.483799976207,174.972798142606,177.460762074981,179.949737464043,182.437703752099,185.028709288287,187.620642871245,190.210614716445,192.801575836284,195.466690949839,198.132666442653,200.799638232592,203.460607300945,206.126581990017,208.791652627388,210.091856905639,211.364922472786,212.653315327533,213.925797564184,215.141664899702,216.356269956233,217.554343841041,218.731569963219,219.886881284249,220.988856305974
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military REMI,Pierce County,All Ages,All Races,Total,Thousands,334.035003662109,337.9169921875,345.174011230469,355.309997558594,368.415985107422,380.231994628906,396.626007080078,397.500030517578,386.777954101562,381.7490234375,382.588043212891,391.295989990234,397.273040771484,404.320007324219,413.633972167969,424.842041015625,438.817993164063,450.878997802734,457.073028564453,446.952056884766,464.295989990234,484.996063232422,490.578760949174,498.265864444776,505.953970008658,513.573161339499,521.190091835595,528.80836666329,536.425655995031,544.043618894401,551.545551111268,559.04890791186,566.550898733896,574.054184455065,581.555026972051,589.409382900231,597.261424014126,605.11529602736,612.967229034041,620.821130686101,628.949390172112,637.080939328522,645.207861518396,653.334738685823,661.675930978205,670.017856564595,678.35977289936,686.698664491564,695.041579143198,703.382127314851,709.550233859144,715.772107244495,722.144884726798,728.5827754147,734.990556778571,741.328663867081,747.646444026002,753.972509869022,760.168715778943,766.188376819127
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military REMI,Region,All Ages,All Races,Total,Thousands,2153.18301391602,2116.91379547119,2121.39102172852,2162.83810424805,2223.98281860352,2296.83557128906,2380.09619903564,2399.82627105713,2305.78890991211,2275.53874969482,2310.99591827393,2380.05992126465,2434.75186920166,2504.67204284668,2581.43812561035,2658.30488586426,2734.72581481934,2798.63990783691,2833.5738067627,2726.48190307617,2797.4987487793,2955.37101745605,2995.66630597346,3038.90523605649,3082.14111717366,3126.13318341523,3170.12162149992,3214.11320235552,3258.10269539622,3302.09116509119,3347.02328879382,3391.96070826655,3436.88709055353,3481.82574263073,3526.7556058757,3573.977250862,3621.1942180306,3668.41357901559,3715.63021947488,3762.85073316348,3811.86854797244,3860.88684279259,3909.8975769283,3958.91015606477,4008.46109293766,4058.01498657536,4107.57084635341,4157.11162778117,4206.66840500936,4256.21734075461,4303.48666219873,4351.29508031284,4400.77856971283,4450.86070485456,4501.08216362817,4551.47022543463,4601.46059671247,4651.17323145475,4700.21625542865,4748.2480381169
LUVit_emp_cnty_adj_mig,Employment,All Sectors w Military REMI,Snohomish County,All Ages,All Races,Total,Thousands,291.312042236328,288.625,291.803985595703,298.93701171875,313.972991943359,328.606994628906,352.475952148438,351.318023681641,338.054992675781,331.198974609375,339.385040283203,353.104034423828,360.468994140625,367.771026611328,379.679962158203,390.540008544922,396.622009277344,400.964080810547,403.780029296875,389.129974365234,393.986999511719,411.504943847656,423.103806658046,431.550150079587,439.996064849324,448.395261815011,456.793259248895,465.191475539253,473.589683440891,481.987913559257,490.540597967453,499.093741339985,507.645137657731,516.198322560658,524.750183993043,533.784510281463,542.816527568702,551.850408488568,560.882341093042,569.91624677734,579.25161089635,588.587061933126,597.918981802584,607.253865714838,617.004116631618,626.755050521236,636.504964894827,646.251866223702,656.0047886974,665.753098914716,671.68659874094,677.766613225739,684.010737996643,690.2405032939,696.397199783346,702.505559160229,708.435348148875,714.177068843712,719.741631449426,725.091170294957
