Source,Main Measure,Detailed Measure,Region,Age,Race,Gender,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
LUVit_pop,Employment,All Sectors w Military,King County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,1575.33857001427,1630.64012771072,1645.51914666035,1667.85675588991,1697.7947940191,1718.93948283792,1734.50742815071,1748.81436792065,1763.73452378481,1780.20941825369,1801.10987599316,1817.267936346,1836.77564026045,1855.59952363753,1872.37832609323,1887.65170223313,1903.64889956114,1920.06528968247,1937.43104345762,1955.55604583221,1973.96214994454,1992.46288116866,2012.20079565751,2032.37915778729,2053.06406815666,2074.34875814146,2096.33026426763,2119.14133335029,2142.42542998066,2167.81756221335,2193.70042407112,2220.93910779924,2248.76426678455,2276.84172075747,2305.04976980011,2332.87216742822,2360.34159171353,2387.26918542547,2413.47710523593
LUVit_pop,Employment,All Sectors w Military,Kitsap County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,107.179286375163,110.44775915509,111.188655349195,112.129586563108,113.441703722529,114.136685103358,114.52161114767,114.877597803644,115.253853062402,115.666169814513,116.18194865494,116.669541322765,117.260928766453,117.809359870685,118.298214734617,118.763314267162,119.224504557532,119.727936781434,120.227712179603,120.760479170525,121.308840747726,121.858001274808,122.436647609121,123.054175992572,123.682425774293,124.330885641925,125.0256740987,125.745458685894,126.430189417297,126.579864188876,126.775222315455,127.005322859939,127.253118384347,127.486744679232,127.739870480011,128.000906334425,128.266177560691,128.533269771705,128.785411612822
LUVit_pop,Employment,All Sectors w Military,Pierce County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,386.702769564702,400.201146624147,403.645854498324,408.500317626538,414.237651385782,418.049319245946,420.636302469067,423.104384129975,425.611012655662,428.266798595003,431.244418510809,434.01292627972,437.227839910608,440.282002234959,443.087225043016,445.745996448647,448.399678659047,451.16307164789,453.984671466872,456.957213261415,459.931165311844,462.778597575075,465.760800495201,468.888907084668,472.127229450963,475.492941660934,479.005458718873,482.629346045113,486.2639913755,488.687254738881,491.284793069564,493.988040497878,496.765077601901,499.543356518319,502.307406062969,505.094838189747,507.891563257121,510.607971772577,513.196378668122
LUVit_pop,Employment,All Sectors w Military,Region,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,2377.77133104249,2459.93229832085,2481.91110434081,2513.85158393794,2556.8523810439,2586.90832028672,2608.63875618906,2628.6009393105,2649.13865224104,2671.49020496373,2698.93017214971,2721.02602914288,2747.42187898714,2772.76601927903,2795.54587874279,2816.49297216505,2838.17850751804,2860.5422517936,2883.95866903529,2908.42390834947,2933.2303423633,2958.00856999868,2984.30256464782,3011.35841157201,3039.07262215339,3067.63767126215,3097.19400464515,3127.76612666282,3158.80337449249,3188.95100139995,3220.03863307521,3252.57571132908,3285.67720845826,3318.88989967037,3352.15680798492,3384.92708710191,3417.2253855553,3448.80181149148,3479.40872121936
LUVit_pop,Employment,All Sectors w Military,Snohomish County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,308.550704983633,318.7061460823,321.628652352664,325.494066389814,331.528340812551,335.944668330674,339.152364092045,342.005318130343,344.777975056502,347.643858639161,350.801355140787,353.540837905503,356.704060918036,359.7050144222,362.478301159358,365.081295750174,367.718779044299,370.461237934906,373.264918993765,376.177921461348,379.135482937401,382.098397919455,385.187099447432,388.40845871618,391.66603992915,395.028699605785,398.495316524824,402.020996346445,405.57077546809,408.013589846258,410.675904940951,413.315959596872,415.859146008177,418.287514077012,420.641664959709,422.856263509221,424.941147051037,426.92279196232,428.793994652055
LUVit_pop,Employment,All Sectors w Military REMI,King County,All Ages,All Races,Total,Thousands,1414.6689453125,1373.29479980469,1365.11804199219,1386.66809082031,1416.61083984375,1460.93957519531,1503.40124511719,1523.5322265625,1457.77197265625,1441.77575683594,1468.30883789062,1514.28088378906,1555.43981933594,1608.18701171875,1660.81018066406,1711.56884765625,1767.09680175781,1815.16284179687,1841.08874511719,1762.36987304687,1807.96276855469,1922.19799804687,1989.67590122042,2007.83099561237,2035.08691923381,2071.61674085612,2097.41708580451,2116.41279497049,2133.8698492872,2152.0751381556,2172.17748933832,2197.67982819409,2217.39558444722,2241.19851171924,2264.1670542482,2284.64022814483,2303.27650963908,2322.79598390548,2342.8269492021,2364.01630987449,2386.13209116887,2408.59086742814,2431.16510587968,2455.24893169228,2479.87018329369,2505.10951537036,2531.08068706424,2557.90210048866,2585.73573076891,2614.1465402172,2645.12953439564,2676.71130747841,2709.9474284801,2743.89915537549,2778.15872779015,2812.57764981151,2846.52600735165,2880.04367356879,2912.90020848169,2944.87861106228
LUVit_pop,Employment,All Sectors w Military REMI,Kitsap County,All Ages,All Races,Total,Thousands,113.167022705078,117.077003479004,119.294982910156,121.923004150391,124.983001708984,127.057006835938,127.592994689941,127.47599029541,123.183990478516,120.814994812012,120.713996887207,121.379013061523,121.570014953613,124.393997192383,127.314010620117,131.353988647461,132.189010620117,131.633987426758,131.63200378418,128.029998779297,131.252990722656,136.672012329102,140.839876915473,141.78464690975,142.984495936722,144.657670844436,145.543891559852,146.034738428247,146.488682602347,146.968472728808,147.494247457618,148.151954132312,148.773718592241,149.527839231858,150.227183155244,150.850557132157,151.443638978437,152.031735869014,152.673698485476,153.310998020587,153.990367507121,154.689622771591,155.389896834486,156.127770369682,156.915225200656,157.716351657242,158.543249447116,159.429224151204,160.347073217962,161.220222593457,161.411083653634,161.660198843587,161.953616587969,162.269598473204,162.56751215536,162.890291059147,163.223156640916,163.56142304978,163.902011527194,164.223535713287
LUVit_pop,Employment,All Sectors w Military REMI,Pierce County,All Ages,All Races,Total,Thousands,334.035003662109,337.9169921875,345.174011230469,355.309997558594,368.415985107422,380.231994628906,396.626007080078,397.500030517578,386.777954101562,381.7490234375,382.588043212891,391.295989990234,397.273040771484,404.320007324219,413.633972167969,424.842041015625,438.817993164063,450.878997802734,457.073028564453,446.952056884766,464.295989990234,484.996063232422,501.925499091459,506.245793357368,512.334178783056,519.529845599241,524.310374863643,527.55492540119,530.650351613482,533.794122650634,537.124964389416,540.859444849936,544.331660397969,548.363750616428,552.194229269194,555.712492197409,559.04707825744,562.375281535019,565.84108221253,569.379884910437,573.107996477288,576.837876763182,580.40907807509,584.149306461997,588.072524759529,592.133973817416,596.355193059385,600.760532454949,605.305550554516,609.864061160655,612.903277023365,616.161065598023,619.551432732324,623.034345627977,626.518815983701,629.985440102384,633.481390259495,636.988995465288,640.395869012148,643.642205095533
LUVit_pop,Employment,All Sectors w Military REMI,Region,All Ages,All Races,Total,Thousands,2153.18301391602,2116.91379547119,2121.39102172852,2162.83810424805,2223.98281860352,2296.83557128906,2380.09619903564,2399.82627105713,2305.78890991211,2275.53874969482,2310.99591827393,2380.05992126465,2434.75186920166,2504.67204284668,2581.43812561035,2658.30488586426,2734.72581481934,2798.63990783691,2833.5738067627,2726.48190307617,2797.4987487793,2955.37101745605,3057.49023232359,3084.80805109854,3124.50739747917,3177.95379404194,3215.31081428228,3242.31992976114,3267.13125483351,3292.65791535268,3320.43902712293,3354.54461275375,3382.00791610465,3414.81575115271,3446.31639913476,3474.62986038396,3500.6653466361,3527.61865448515,3555.41491933658,3584.51956869679,3614.92781622686,3645.76014024969,3676.55740610176,3709.23864365589,3742.86679990817,3777.31324715672,3812.81721557711,3849.55326749347,3887.55185977758,3926.12856456828,3963.59954491201,4002.23887261142,4042.67974125543,4083.82213538426,4125.10273446398,4166.45072087026,4207.18143869493,4247.32552400546,4286.57238211512,4324.61421261528
LUVit_pop,Employment,All Sectors w Military REMI,Snohomish County,All Ages,All Races,Total,Thousands,291.312042236328,288.625,291.803985595703,298.93701171875,313.972991943359,328.606994628906,352.475952148438,351.318023681641,338.054992675781,331.198974609375,339.385040283203,353.104034423828,360.468994140625,367.771026611328,379.679962158203,390.540008544922,396.622009277344,400.964080810547,403.780029296875,389.129974365234,393.986999511719,411.504943847656,425.048955096235,428.946615219048,434.101803525585,442.149536742144,448.039462054273,452.317470961215,456.122371330481,459.820181817638,463.642325937576,467.853385577416,471.506952667226,475.725649585191,479.727932462119,483.426582909566,486.898119761139,490.415653175641,494.073189436475,497.812375891272,501.697361073575,505.641773286776,509.593325312497,513.71263513193,518.008866654297,522.353406311705,526.838086006363,531.461410398657,536.163505236191,540.897740596962,544.155649839371,547.706300691407,551.227263455038,554.619035907588,557.857678534771,560.997339897218,563.950884442873,566.731431921606,569.37429309409,571.869860744171
