Source,Main Measure,Detailed Measure,Region,Age,Race,Gender,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
OFM 2022,Population,Total Population,King County,All Ages,All Races,Total,Thousands,1269.898,1301.899,1318.674,1317.477,1333.873,1356.552,1376.073,1400.194,1428.605,1463.301,1507.305,1549.991,1570.997,1590.603,1609.529,1625.241,1640.249,1659.106,1686.266,1712.122,1737.046,1755.487,1777.514,1788.082,1800.783,1814.999,1845.209,1871.098,1891.125,1909.205,1931.249,1945.686,1956.755,1983.55,2021.027,2061.981,2118.958,2149.91,2187.46,2227.755,2269.675,2293.688,2317.7,2337.712,2357.723,2377.735,2399.664,2421.592,2443.522,2465.45,2487.379,2508.197,2529.015,2549.832,2570.65,2591.468,2611.344,2631.221,2651.098,2670.975,2690.851,2709.992,2729.132,2748.272,2767.412,2786.553,2805.077,2823.601,2842.127,2860.651,2879.175,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 0-4,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.553,124.04,122.526,119.591,116.655,113.72,114.388,115.056,115.724,116.392,117.06,117.529,117.998,118.467,118.936,119.405,120.835,122.265,123.695,125.125,126.555,128.148,129.741,131.334,132.927,134.52,135.208,135.896,136.585,137.273,137.961,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 5-19,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.533,387.227,393.921,394.961,396.002,397.042,393.73,390.417,387.105,383.792,380.48,378.081,375.682,373.282,370.883,368.484,366.932,365.38,363.828,362.276,360.724,363.501,366.278,369.054,371.831,374.608,378.412,382.216,386.021,389.825,393.629,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 20-64,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.905,1469.233,1479.56,1487.107,1494.653,1502.2,1514.394,1526.588,1538.783,1550.977,1563.171,1575.957,1588.743,1601.528,1614.314,1627.1,1638.614,1650.128,1661.643,1673.157,1684.671,1691.367,1698.062,1704.758,1711.453,1718.149,1720.699,1723.25,1725.8,1728.351,1730.901,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 65+,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.683,313.188,321.693,336.053,350.413,364.773,377.152,389.531,401.91,414.289,426.668,436.63,446.592,456.555,466.517,476.479,484.963,493.448,501.932,510.417,518.901,526.976,535.051,543.126,551.201,559.276,570.758,582.239,593.721,605.202,616.684,,,,,,,,,,
OFM 2022,Population,Total Population,Kitsap County,All Ages,All Races,Total,Thousands,147.152,155.66,156.73,161.021,163.495,168.709,167.429,172.008,179.365,183.15,189.731,196.926,202.113,207.976,212.429,218.308,221.849,225.251,227.179,229.569,231.969,233.918,236.656,239.443,240.777,239.819,244.049,247.476,249.905,251.249,251.133,250.422,252.907,253.217,255.971,259.034,263.471,265.268,269.28,272.342,275.611,278.256,280.9,282.68,284.46,286.24,288.513,290.786,293.059,295.332,297.605,299.694,301.782,303.869,305.957,308.046,309.975,311.904,313.834,315.763,317.692,319.498,321.305,323.11,324.917,326.723,328.432,330.14,331.848,333.556,335.265,,,,,,,,,,
OFM 2022,Population,Total Population,Kitsap County,Ages 0-4,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.314,15.255,15.196,15.672,16.149,16.625,16.672,16.719,16.765,16.812,16.859,17.03,17.201,17.371,17.542,17.713,17.919,18.126,18.332,18.539,18.745,18.966,19.187,19.407,19.628,19.849,20.048,20.247,20.446,20.645,20.844,,,,,,,,,,
OFM 2022,Population,Total Population,Kitsap County,Ages 5-19,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.458,46.413,46.367,46.924,47.481,48.038,48.584,49.13,49.677,50.223,50.769,51.233,51.697,52.16,52.624,53.088,53.626,54.164,54.702,55.24,55.778,56.237,56.697,57.156,57.616,58.075,58.62,59.164,59.709,60.253,60.798,,,,,,,,,,
OFM 2022,Population,Total Population,Kitsap County,Ages 20-64,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.767,161.198,161.629,160.457,159.285,158.113,157.768,157.424,157.079,156.735,156.39,156.774,157.158,157.542,157.926,158.31,159.111,159.912,160.714,161.515,162.316,163.205,164.094,164.983,165.872,166.761,167.128,167.495,167.862,168.229,168.596,,,,,,,,,,
OFM 2022,Population,Total Population,Kitsap County,Ages 65+,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.071,55.39,57.708,59.627,61.545,63.464,65.489,67.513,69.538,71.562,73.587,74.657,75.726,76.796,77.865,78.935,79.319,79.702,80.086,80.469,80.853,81.09,81.327,81.564,81.801,82.038,82.636,83.234,83.831,84.429,85.027,,,,,,,,,,
