Source,Main Measure,Detailed Measure,Region,Age,Race,Gender,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
OFM 2022,Population,Total Population,Pierce County,All Ages,All Races,Total,Thousands,485.667,502.249,505.888,512.583,520.504,529.753,536.252,546.305,558.259,573.572,586.203,598.065,610.619,623.697,636.802,649.284,653.212,664.07,675.651,688.884,700.818,709.288,721.124,731.969,743.701,756.919,774.05,786.911,794.33,796.9,795.225,806.19,814.214,823.032,834.544,845.324,862.608,877.92,891.661,905.841,920.393,928.897,937.4,947.453,957.505,967.558,977.126,986.693,996.26,1005.827,1015.395,1024.469,1033.543,1042.62,1051.694,1060.768,1069.427,1078.087,1086.744,1095.404,1104.063,1112.401,1120.739,1129.075,1137.413,1145.751,1153.83,1161.91,1169.986,1178.066,1186.145,,,,,,,,,,
OFM 2022,Population,Total Population,Pierce County,Ages 0-4,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.973,57.833,57.693,56.63,55.568,54.505,54.599,54.693,54.788,54.882,54.976,55.07,55.164,55.259,55.353,55.447,55.85,56.254,56.657,57.061,57.464,57.913,58.361,58.81,59.258,59.707,59.943,60.179,60.414,60.65,60.886,,,,,,,,,,
OFM 2022,Population,Total Population,Pierce County,Ages 5-19,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.553,177.546,178.539,181.635,184.73,187.826,188.155,188.484,188.812,189.141,189.47,189.084,188.698,188.312,187.926,187.54,187.098,186.656,186.213,185.771,185.329,186.052,186.775,187.497,188.22,188.943,190.017,191.091,192.164,193.238,194.312,,,,,,,,,,
OFM 2022,Population,Total Population,Pierce County,Ages 20-64,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.434,554.749,557.063,558.97,560.876,562.783,565.903,569.023,572.142,575.262,578.382,583.353,588.324,593.296,598.267,603.238,608.762,614.286,619.809,625.333,630.857,634.886,638.916,642.945,646.975,651.004,653.049,655.095,657.14,659.186,661.231,,,,,,,,,,
OFM 2022,Population,Total Population,Pierce County,Ages 65+,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.433,138.769,144.105,150.218,156.331,162.444,168.469,174.493,180.518,186.542,192.567,196.962,201.357,205.753,210.148,214.543,217.717,220.891,224.065,227.239,230.413,233.55,236.687,239.823,242.96,246.097,250.821,255.545,260.268,264.992,269.716,,,,,,,,,,
OFM 2022,Population,Total Population,Region,All Ages,All Races,Total,Thousands,2240.437,2309.404,2339.039,2354.633,2388.441,2436.108,2472.851,2524.6,2588.616,2664.483,2748.867,2833.057,2880.19,2929.612,2978.72,3024.537,3058.048,3103.012,3159.992,3219.841,3275.857,3316.557,3364.581,3399.436,3434.039,3473.083,3539.434,3594.799,3634.69,3663.248,3690.942,3721.172,3749.421,3795.087,3857.726,3926.769,4018.936,4080.194,4149.624,4220.357,4293.636,4338.471,4383.3,4426.406,4469.51,4512.616,4557.244,4601.869,4646.495,4691.12,4735.748,4778.258,4820.765,4863.276,4905.783,4948.293,4989.005,5029.72,5070.431,5111.146,5151.858,5191.175,5230.49,5269.801,5309.116,5348.433,5386.594,5424.754,5462.913,5501.073,5539.234,,,,,,,,,,
OFM 2022,Population,Total Population,Region,Ages 0-4,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.54,247.46,245.379,241.544,237.711,233.876,234.962,236.048,237.133,238.219,239.305,240.271,241.236,242.202,243.167,244.133,246.768,249.405,252.041,254.678,257.313,260.264,263.213,266.163,269.112,272.063,273.695,275.326,276.958,278.589,280.221,,,,,,,,,,
OFM 2022,Population,Total Population,Region,Ages 5-19,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.24,766.577,775.912,783.261,790.611,797.96,796.191,794.421,792.651,790.881,789.112,787.286,785.46,783.632,781.806,779.98,778.749,777.518,776.285,775.054,773.823,779.063,784.303,789.541,794.781,800.021,807.143,814.264,821.385,828.506,835.628,,,,,,,,,,
OFM 2022,Population,Total Population,Region,Ages 20-64,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2676.072,2692.444,2708.814,2718.952,2729.087,2739.225,2757.244,2775.263,2793.282,2811.301,2829.32,2851.956,2874.592,2897.229,2919.865,2942.501,2965.531,2988.562,3011.593,3034.624,3057.654,3073.28,3088.906,3104.531,3120.157,3135.783,3142.892,3150.003,3157.113,3164.224,3171.333,,,,,,,,,,
OFM 2022,Population,Total Population,Region,Ages 65+,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.783,631.99,653.195,682.649,712.101,741.555,768.847,796.137,823.429,850.719,878.011,898.745,919.477,940.213,960.945,981.679,997.957,1014.235,1030.512,1046.79,1063.068,1078.568,1094.068,1109.566,1125.066,1140.566,1162.864,1185.161,1207.457,1229.754,1252.052,,,,,,,,,,
OFM 2022,Population,Total Population,Snohomish County,All Ages,All Races,Total,Thousands,337.72,349.596,357.747,363.552,370.569,381.094,393.097,406.093,422.387,444.46,465.628,488.075,496.461,507.336,519.96,531.704,542.738,554.585,570.896,589.266,606.024,617.864,629.287,639.942,648.778,661.346,676.126,689.314,699.33,705.894,713.335,718.874,725.545,735.288,746.184,760.43,773.899,787.096,801.223,814.419,827.957,837.63,847.3,858.561,869.822,881.083,891.941,902.798,913.654,924.511,935.369,945.898,956.425,966.955,977.482,988.011,998.259,1008.508,1018.755,1029.004,1039.252,1049.284,1059.314,1069.344,1079.374,1089.406,1099.255,1109.103,1118.952,1128.8,1138.649,,,,,,,,,,
OFM 2022,Population,Total Population,Snohomish County,Ages 0-4,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,50.332,49.964,49.651,49.339,49.026,49.303,49.58,49.856,50.133,50.41,50.642,50.873,51.105,51.336,51.568,52.164,52.76,53.357,53.953,54.549,55.237,55.924,56.612,57.299,57.987,58.496,59.004,59.513,60.021,60.53,,,,,,,,,,
OFM 2022,Population,Total Population,Snohomish County,Ages 5-19,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.696,155.391,157.085,159.741,162.398,165.054,165.722,166.39,167.057,167.725,168.393,168.888,169.383,169.878,170.373,170.868,171.093,171.318,171.542,171.767,171.992,173.273,174.553,175.834,177.114,178.395,180.094,181.793,183.491,185.19,186.889,,,,,,,,,,
OFM 2022,Population,Total Population,Snohomish County,Ages 20-64,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.966,507.264,510.562,512.418,514.273,516.129,519.179,522.228,525.278,528.327,531.377,535.872,540.367,544.863,549.358,553.853,559.044,564.236,569.427,574.619,579.81,583.822,587.834,591.845,595.857,599.869,602.016,604.163,606.311,608.458,610.605,,,,,,,,,,
OFM 2022,Population,Total Population,Snohomish County,Ages 65+,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.596,124.643,129.689,136.751,143.812,150.874,157.737,164.6,171.463,178.326,185.189,190.496,195.802,201.109,206.415,211.722,215.958,220.194,224.429,228.665,232.901,236.952,241.003,245.053,249.104,253.155,258.649,264.143,269.637,275.131,280.625,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 0-4,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.553,124.04,122.526,119.591,116.655,113.72,114.388,115.056,115.724,116.392,117.06,117.529,117.998,118.467,118.936,119.405,120.835,122.265,123.695,125.125,126.555,128.148,129.741,131.334,132.927,134.52,135.208,135.896,136.585,137.273,137.961,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 5-9,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.156,130.126,131.096,130.236,129.375,128.515,125.898,123.282,120.665,118.049,115.432,116.103,116.774,117.445,118.116,118.787,119.261,119.734,120.208,120.681,121.155,122.644,124.132,125.621,127.109,128.598,130.261,131.925,133.588,135.252,136.915,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 10-14,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.594,130.579,131.564,130.521,129.478,128.435,128.062,127.689,127.316,126.943,126.57,123.926,121.282,118.637,115.993,113.349,113.989,114.63,115.27,115.911,116.551,117.042,117.533,118.025,118.516,119.007,120.508,122.009,123.511,125.012,126.513,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 15-19,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.783,126.522,131.261,134.205,137.148,140.092,139.769,139.446,139.124,138.801,138.478,138.052,137.626,137.2,136.774,136.348,133.682,131.016,128.35,125.684,123.018,123.815,124.612,125.409,126.206,127.003,127.643,128.282,128.922,129.561,130.201,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 20-24,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.031,135.6845,133.338,139.698,146.059,152.419,157.317,162.215,167.114,172.012,176.91,176.836,176.762,176.688,176.614,176.54,176.063,175.587,175.11,174.634,174.157,170.821,167.485,164.149,160.813,157.477,158.676,159.874,161.073,162.271,163.47,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 25-29,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.542,201.447,199.352,186.675,173.999,161.322,165.416,169.51,173.605,177.699,181.793,187.701,193.61,199.518,205.427,211.335,211.246,211.157,211.068,210.979,210.89,210.347,209.804,209.26,208.717,208.174,204.354,200.534,196.713,192.893,189.073,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 30-34,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.138,215.1935,219.249,217.957,216.665,215.373,206.028,196.683,187.339,177.994,168.649,173.115,177.581,182.047,186.513,190.979,197.026,203.072,209.119,215.165,221.212,221.113,221.014,220.914,220.815,220.716,220.257,219.799,219.34,218.882,218.423,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 35-39,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.72,195.539,200.358,204.385,208.413,212.44,212.872,213.304,213.735,214.167,214.599,205.098,195.598,186.097,176.597,167.096,171.668,176.24,180.812,185.384,189.956,196.068,202.18,208.293,214.405,220.517,220.46,220.402,220.345,220.287,220.23,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 40-44,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.242,165.6485,171.055,177.208,183.361,189.514,193.633,197.752,201.872,205.991,210.11,210.408,210.705,211.003,211.3,211.598,202.114,192.63,183.146,173.662,164.178,168.857,173.537,178.216,182.896,187.575,193.698,199.821,205.943,212.066,218.189,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 45-49,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.409,150.1305,150.852,153.188,155.523,157.859,163.499,169.138,174.778,180.417,186.057,190.073,194.089,198.105,202.121,206.137,206.364,206.59,206.817,207.043,207.27,197.921,188.572,179.223,169.874,160.525,165.284,170.043,174.802,179.561,184.32,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 50-54,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.524,142.1745,141.825,143.236,144.648,146.059,147.64,149.221,150.801,152.382,153.963,159.431,164.899,170.367,175.835,181.303,185.254,189.205,193.157,197.108,201.059,201.273,201.488,201.702,201.917,202.131,192.952,183.773,174.595,165.416,156.237,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 55-59,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.769,137.0635,136.358,136.694,137.031,137.367,138.091,138.815,139.538,140.262,140.986,142.502,144.017,145.533,147.048,148.564,153.882,159.2,164.517,169.835,175.153,179.045,182.937,186.829,190.721,194.613,194.802,194.991,195.18,195.369,195.558,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 60-64,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.532,126.352,127.172,128.064,128.955,129.847,129.898,129.95,130.001,130.053,130.104,130.793,131.482,132.17,132.859,133.548,134.998,136.447,137.897,139.346,140.796,145.921,151.046,156.171,161.296,166.421,170.217,174.013,177.809,181.605,185.401,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 65-69,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.602,106.4505,108.299,111.111,113.924,116.736,117.706,118.675,119.645,120.614,121.584,121.681,121.777,121.874,121.97,122.067,122.733,123.399,124.066,124.732,125.398,126.807,128.216,129.624,131.033,132.442,137.361,142.279,147.198,152.116,157.035,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 70-74,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.976,83.4895,86.003,89.378,92.754,96.129,98.435,100.741,103.048,105.354,107.66,108.602,109.543,110.485,111.426,112.368,112.565,112.762,112.959,113.156,113.353,114.02,114.687,115.354,116.021,116.688,118.048,119.408,120.768,122.128,123.488,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 75-79,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.973,55.408,58.843,63.229,67.616,72.002,74.944,77.886,80.828,83.77,86.712,88.856,91,93.143,95.287,97.431,98.418,99.405,100.391,101.378,102.365,102.692,103.019,103.347,103.674,104.001,104.657,105.313,105.969,106.625,107.281,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 80-84,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.851,33.116,34.381,37.106,39.832,42.557,46.193,49.829,53.465,57.101,60.737,63.333,65.929,68.526,71.122,73.718,75.71,77.702,79.693,81.685,83.677,84.699,85.72,86.742,87.763,88.785,89.249,89.713,90.178,90.642,91.106,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 85+,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.281,34.724,34.167,35.228,36.288,37.349,39.874,42.399,44.925,47.45,49.975,54.159,58.343,62.527,66.711,70.895,75.538,80.18,84.823,89.465,94.108,98.758,103.409,108.059,112.71,117.36,121.443,125.526,129.608,133.691,137.774,,,,,,,,,,
OFM 2022,Population,Total Population,King County,All Ages (0-100),All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269.675,2293.6875,2317.7,2337.712,2357.723,2377.735,2399.664,2421.593,2443.521,2465.45,2487.379,2508.197,2529.015,2549.832,2570.65,2591.468,2611.345,2631.221,2651.098,2670.974,2690.851,2709.991,2729.132,2748.272,2767.413,2786.553,2805.077,2823.602,2842.126,2860.651,2879.175,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 0-4,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.111,63.33,62.549,61.094,59.639,58.184,58.534,58.885,59.235,59.586,59.936,60.182,60.428,60.674,60.92,61.166,61.905,62.643,63.382,64.12,64.859,65.68,66.501,67.323,68.144,68.965,69.319,69.672,70.026,70.379,70.733,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 5-9,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.771,66.2795,66.788,66.399,66.01,65.621,64.312,63.004,61.695,60.387,59.078,59.432,59.786,60.139,60.493,60.847,61.096,61.345,61.594,61.843,62.092,62.858,63.623,64.389,65.154,65.92,66.776,67.632,68.488,69.344,70.2,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 10-14,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.278,66.788,67.298,66.677,66.055,65.434,65.282,65.13,64.979,64.827,64.675,63.352,62.029,60.705,59.382,58.059,58.398,58.737,59.077,59.416,59.755,60.012,60.269,60.525,60.782,61.039,61.808,62.577,63.346,64.115,64.884,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 15-19,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.508,63.9265,66.345,67.406,68.468,69.529,69.304,69.079,68.853,68.628,68.403,68.22,68.038,67.855,67.673,67.49,66.168,64.847,63.525,62.204,60.882,61.28,61.677,62.075,62.472,62.87,63.186,63.503,63.819,64.136,64.452,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 20-24,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.799,68.411,67.023,70.424,73.824,77.225,79.444,81.662,83.881,86.099,88.318,88.213,88.108,88.002,87.897,87.792,87.591,87.39,87.19,86.989,86.788,85.131,83.474,81.816,80.159,78.502,79.107,79.711,80.316,80.92,81.525,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 25-29,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.851,103.6105,102.37,95.775,89.179,82.584,84.78,86.976,89.171,91.367,93.563,96.252,98.941,101.629,104.318,107.007,106.878,106.749,106.619,106.49,106.361,106.13,105.898,105.667,105.435,105.204,103.294,101.383,99.473,97.562,95.652,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 30-34,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.689,112.8445,115,113.644,112.288,110.932,106.03,101.128,96.225,91.323,86.421,88.851,91.28,93.71,96.139,98.569,101.288,104.007,106.727,109.446,112.165,112.016,111.868,111.719,111.571,111.422,111.234,111.046,110.858,110.67,110.482,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 35-39,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.406,102.1605,104.915,107.163,109.412,111.66,111.489,111.317,111.146,110.974,110.803,105.818,100.832,95.847,90.861,85.876,88.381,90.886,93.392,95.897,98.402,101.139,103.876,106.614,109.351,112.088,111.957,111.826,111.696,111.565,111.434,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 40-44,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.406,85.441,88.476,91.927,95.377,98.828,101.169,103.51,105.85,108.191,110.532,110.292,110.052,109.812,109.572,109.332,104.353,99.374,94.394,89.415,84.436,87.006,89.575,92.145,94.714,97.284,100.02,102.757,105.493,108.23,110.966,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 45-49,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.26,76.7235,77.187,78.512,79.836,81.161,84.343,87.526,90.708,93.891,97.073,99.366,101.659,103.952,106.245,108.538,108.257,107.976,107.696,107.415,107.134,102.226,97.318,92.409,87.501,82.593,85.213,87.832,90.452,93.071,95.691,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 50-54,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.01,72.794,72.578,73.179,73.78,74.381,75.323,76.264,77.206,78.147,79.089,82.18,85.272,88.363,91.455,94.546,96.798,99.049,101.301,103.552,105.804,105.514,105.224,104.933,104.643,104.353,99.544,94.736,89.927,85.119,80.31,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 55-59,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.842,69.6045,69.367,69.581,69.795,70.009,70.318,70.626,70.935,71.243,71.552,72.46,73.368,74.276,75.184,76.092,79.095,82.097,85.1,88.102,91.105,93.32,95.535,97.749,99.964,102.179,101.877,101.575,101.273,100.971,100.669,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 60-64,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.373,62.9225,63.472,63.989,64.505,65.022,65.156,65.29,65.425,65.559,65.693,65.986,66.278,66.571,66.863,67.156,68.03,68.904,69.779,70.653,71.527,74.407,77.287,80.167,83.047,85.927,88.075,90.222,92.37,94.517,96.665,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 65-69,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.046,51.1315,52.217,53.788,55.36,56.931,57.55,58.17,58.789,59.409,60.028,60.189,60.35,60.51,60.671,60.832,61.119,61.406,61.693,61.98,62.267,63.112,63.957,64.802,65.647,66.492,69.237,71.982,74.727,77.472,80.217,,,,,,,,,,
OFM 2022,Population,Total Population,King County,Ages 70-74,All Races,Male,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.41,38.5565,39.703,41.493,43.283,45.073,46.406,47.738,49.071,50.403,51.736,52.342,52.949,53.555,54.162,54.768,54.984,55.2,55.417,55.633,55.849,56.141,56.433,56.725,57.017,57.309,58.124,58.939,59.755,60.57,61.385,,,,,,,,,,
