year,name,Pop,HH,HHpop,GQ
2023,King,2271380,949792,2230826,40554
2023,Kitsap,277658,109652,271197,6461
2023,Pierce,928696,356066,906034,22662
2023,Snohomish,844761,321835,835625,9136
2023,Region,4322495,1737345,4243682,78813
