year,name,Pop,HH,HHpop,GQ
2009,King,1858788,767486,1825513,33275
2010,King,1879189,781977,1845400,33789
2011,King,1908379,790070,1874207,34172
2012,King,1940777,796555,1906077,34700
2013,King,1974567,802606,1939250,35317
2014,King,2008997,808729,1973136,35861
2015,King,2045756,819651,2009446,36310
2016,King,2079550,831995,2043207,36343
2017,King,2118119,851077,2081950,36169
2018,King,2163257,865627,2126667,36590
2019,King,2195502,882028,2158241,37261
2020,King,2225064,900061,2187190,37874
2021,King,2240876,902308,2203839,37037
2022,King,2254371,916270,2212871,41500
2023,King,2262713,927817,2221614,41099
2009,Kitsap,238825,91917,235062,3763
2010,Kitsap,247336,95758,242143,5193
2011,Kitsap,249238,96683,242547,6691
2012,Kitsap,251400,97668,244458,6942
2013,Kitsap,252687,97622,245493,7194
2014,Kitsap,253614,97993,246383,7231
2015,Kitsap,255441,97739,248005,7436
2016,Kitsap,257488,98250,250335,7153
2017,Kitsap,258903,100484,251831,7072
2018,Kitsap,262475,101662,255483,6992
2019,Kitsap,265882,103913,257827,8055
2020,Kitsap,268945,105758,260444,8501
2021,Kitsap,273072,104977,265209,7863
2022,Kitsap,275411,106031,267522,7889
2023,Kitsap,276581,107264,269133,7448
2009,Pierce,774339,291323,746667,27672
2010,Pierce,782681,295554,758349,24332
2011,Pierce,791528,297839,769967,21561
2012,Pierce,798528,299334,778380,20148
2013,Pierce,805434,300623,786242,19192
2014,Pierce,812689,301364,794695,17994
2015,Pierce,821952,303586,805025,16927
2016,Pierce,832896,307106,815497,17399
2017,Pierce,845193,312839,827019,18174
2018,Pierce,859840,317699,841394,18446
2019,Pierce,877013,323296,857629,19384
2020,Pierce,891862,330999,872412,19450
2021,Pierce,910225,335969,891526,18699
2022,Pierce,918993,341783,898140,20853
2023,Pierce,924106,346708,903155,20951
2009,Snohomish,673709,259142,664675,9034
2010,Snohomish,694219,263931,685238,8981
2011,Snohomish,704536,266331,694025,10511
2012,Snohomish,714443,268546,703996,10447
2013,Snohomish,724627,268722,714448,10179
2014,Snohomish,735351,271514,725250,10101
2015,Snohomish,746653,274766,736329,10324
2016,Snohomish,758649,278626,748299,10350
2017,Snohomish,771904,284477,761358,10546
2018,Snohomish,786620,289737,775689,10931
2019,Snohomish,798808,293823,787341,11467
2020,Snohomish,811572,298815,800117,11455
2021,Snohomish,820024,302970,809003,11021
2022,Snohomish,828337,307643,817107,11230
2023,Snohomish,834648,311825,824108,10540
2009,Region,3545661,1409868,3471917,73744
2010,Region,3603425,1437220,3531130,72295
2011,Region,3653681,1450923,3580746,72935
2012,Region,3705148,1462103,3632911,72237
2013,Region,3757315,1469573,3685433,71882
2014,Region,3810651,1479600,3739464,71187
2015,Region,3869802,1495742,3798805,70997
2016,Region,3928583,1515977,3857338,71245
2017,Region,3994119,1548877,3922158,71961
2018,Region,4072192,1574725,3999233,72959
2019,Region,4137205,1603060,4061038,76167
2020,Region,4197443,1635633,4120163,77280
2021,Region,4244197,1646224,4169577,74620
2022,Region,4277112,1671727,4195640,81472
2023,Region,4298048,1693614,4218010,80038
