Source,Main Measure,Detailed Measure,Region,Age,Race,Gender,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
OFM_v2022_High,Employment,All Sectors w Military,King County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,1575.33857001427,1574.6939939037,1601.17081087209,1638.44358128581,1708.18320581485,1729.15804807425,1753.04562918807,1776.78367441532,1799.29995186395,1820.66682123869,1841.60036964587,1864.16563151505,1883.93500476225,1905.21869798492,1925.58746660685,1945.49151112028,1963.92011701814,1982.77638813487,2002.73828851882,2023.56310237201,2043.78345385587,2064.12151732049,2084.76098251101,2105.86412690847,2127.04014414947,2148.32012840039,2169.41566619377,2190.38224750405,2211.94279449282
OFM_v2022_High,Employment,All Sectors w Military,Kitsap County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,107.179286375163,110.683277521889,112.401404986635,115.276467434536,120.503979245953,121.681273872988,122.28652139559,122.859182691618,123.495277446062,124.161254579625,124.925673364844,125.656244980028,126.334250903581,127.149643630912,128.008555186008,128.783418443115,129.551591424806,130.37031178079,131.232814635737,132.079686468411,132.914175477719,133.77979324116,134.629203154948,135.480399543667,136.346565744453,137.196857084569,138.011828652455,138.814978119472,139.622758589643
OFM_v2022_High,Employment,All Sectors w Military,Pierce County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,386.702769564702,397.009680519352,404.618596017008,415.25218420828,439.200212768508,442.663981767787,445.390712343794,447.98435021627,450.527700405853,453.236380535613,456.027539562958,459.07792127969,461.802641266435,465.000821453892,468.146833722314,471.162964923286,474.177124926264,477.267518544513,480.486906845687,483.761911235308,487.051768741733,490.28185915719,493.324442410784,496.424094765757,499.545145654268,502.688690110209,505.720630825909,508.698919138207,511.672215415702
OFM_v2022_High,Employment,All Sectors w Military,Region,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,2377.77133104249,2406.2470710858,2448.6026593039,2508.05582922741,2625.66110027023,2655.49621421735,2685.96536301643,2715.78253266043,2744.3499637004,2771.81594675823,2799.21390316587,2828.24961769297,2854.04520915822,2882.23145433379,2909.41135073249,2935.7220575092,2960.49048031609,2985.94033897317,3012.75038765929,3040.47266970869,3067.58615036382,3094.8196078258,3122.06433246531,3149.90450752518,3177.86198915186,3205.89268738276,3233.50762885252,3260.87047819926,3288.7783821434
OFM_v2022_High,Employment,All Sectors w Military,Snohomish County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,308.550704983633,322.311417438683,328.741139499717,337.266029140904,355.430977775303,359.677363605098,363.133283595288,366.27947601844,369.358450381095,372.272495946919,375.340856838861,378.241585195909,381.026276639608,384.075906081225,387.027767658529,389.799634929245,392.485334281589,395.294029655271,398.198805268153,401.131327271216,404.044411898496,406.988048659051,409.862413411349,412.813295390141,415.77224031939,418.699507389264,421.548248350912,424.342383100909,427.10499301723
OFM_v2022_High,Employment,All Sectors w Military REMI,King County,All Ages,All Races,Total,Thousands,1414.6728515625,1373.29711914062,1365.11975097656,1386.66711425781,1416.61389160156,1460.94104003906,1503.40075683594,1523.53527832031,1457.77099609375,1441.77819824219,1468.30676269531,1514.28002929687,1555.43994140625,1608.18884277344,1660.80517578125,1711.56201171875,1767.09606933594,1815.16516113281,1834.04174804687,1754.10913085938,1799.79077148438,1872.07604980469,1871.31005859375,1902.77416152696,1947.06778965845,2029.94386676866,2054.86961961295,2083.25676720278,2111.46621168982,2138.22375101799,2163.61537487406,2188.49205558032,2215.30780624304,2238.8010227999,2264.09380308979,2288.299319686,2311.95257476215,2333.85247132366,2356.26058994538,2379.98259887013,2404.73006331889,2428.75920629305,2452.92823397779,2477.4554367007,2502.53365921999,2527.69848122189,2552.98685390232,2578.05603700521,2602.97197283283,2628.59375624286
OFM_v2022_High,Employment,All Sectors w Military REMI,Kitsap County,All Ages,All Races,Total,Thousands,113.167007446289,117.075012207031,119.297996520996,121.922012329102,124.982009887695,127.062004089355,127.592002868652,127.472007751465,123.188980102539,120.814994812012,120.714012145996,121.384002685547,121.568000793457,124.397987365723,127.312995910645,131.351989746094,132.190002441406,131.630996704102,131.681991577148,129.043014526367,131.387008666992,136.880004882812,141.354995727539,143.549237765507,147.221015916086,153.897136521771,155.400674189795,156.173643358101,156.904996249575,157.717360802828,158.56788851557,159.544137290795,160.477159422549,161.34304925318,162.384397486344,163.481324157827,164.470911698511,165.451955004927,166.497552994192,167.599066159556,168.680616751204,169.746353084519,170.851844338414,171.936636345144,173.023709881315,174.129901551391,175.21581923869,176.256629603867,177.282341816413,178.31396834091
OFM_v2022_High,Employment,All Sectors w Military REMI,Pierce County,All Ages,All Races,Total,Thousands,334.036010742188,337.916961669922,345.170013427734,355.306976318359,368.415985107422,380.234008789063,396.622955322266,397.504028320313,386.778015136719,381.748046875,382.589996337891,391.295043945313,397.271026611328,404.319061279297,413.634063720703,424.846984863281,438.819061279297,450.880035400391,458.982971191406,448.246978759766,465.891052246094,478.549987792969,491.304931640625,500.721069059605,513.880280473727,543.516294687081,547.802756390441,551.177122923507,554.386785408236,557.534216194802,560.886245052757,564.340342679127,568.11523194343,571.487110344673,575.444902246163,579.338135631444,583.070639412143,586.800703808255,590.625108350155,594.609145583615,598.662008490284,602.733252332971,606.730533579824,610.4957721389,614.331634494643,618.193977829498,622.084157262944,625.836225535226,629.521898221508,633.201393196167
OFM_v2022_High,Employment,All Sectors w Military REMI,Region,All Ages,All Races,Total,Thousands,2153.18894958496,2116.912109375,2121.3907699585,2162.8331451416,2223.97987365723,2296.84502410889,2380.08873748779,2399.82933807373,2305.79295349121,2275.54228973389,2310.99773406982,2380.06610107422,2434.75403594971,2504.67392730713,2581.43714141846,2658.3030090332,2734.7301940918,2798.64326477051,2828.95082092285,2720.02317810059,2791.31080627441,2896.00103759766,2930.68299865723,2982.26988837463,3054.68073778607,3197.91780289848,3234.25541022837,3271.36523882496,3307.68099093279,3342.47462682753,3375.92675672567,3409.29603372414,3444.66001439802,3476.07769475842,3510.40706622015,3543.51075754018,3575.55582139073,3605.7224640834,3636.7190599778,3669.37229614033,3703.13658479649,3736.15938521679,3769.32831110871,3802.51095983317,3836.41883600599,3870.46958543781,3904.60950886168,3938.24306230963,3971.5695807453,4005.5599471545
OFM_v2022_High,Employment,All Sectors w Military REMI,Snohomish County,All Ages,All Races,Total,Thousands,291.313079833984,288.623016357422,291.803009033203,298.937042236328,313.967987060547,328.607971191406,352.473022460937,351.318023681641,338.054962158203,331.201049804687,339.386962890625,353.107025146484,360.475067138672,367.768035888672,379.684906005859,390.542022705078,396.625061035156,400.967071533203,404.244110107422,388.624053955078,394.241973876953,408.494995117188,426.713012695313,435.225420022551,446.511651737808,470.560504920971,476.182360035188,480.757705340567,484.922997585163,488.999298811911,492.857248283282,496.919498173905,500.759816788998,504.446512360661,508.483963397854,512.391978064913,516.061695517921,519.617333946556,523.335808688069,527.181485527031,531.06389623611,534.920573506251,538.817699212684,542.62311464843,546.529832410044,550.447224835025,554.322678457724,558.094170165319,561.79336787455,565.450829374559
