Source,Main Measure,Detailed Measure,Region,Age,Race,Gender,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
OFM_v2022_Medium,Employment,All Sectors w Military,King County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,1575.33857001427,1574.6939939037,1601.17081087545,1638.44358127193,1646.2130405067,1661.10214479658,1680.96342526836,1703.19758815432,1725.23877272724,1746.23556086638,1766.24276672848,1787.23925642669,1804.31708986658,1822.12099994351,1838.43769222757,1853.95397273503,1867.63341594553,1881.72111035157,1896.91439966436,1912.9580469016,1928.37061821816,1943.88835506855,1959.81979924294,1976.18376922793,1992.7435700429,2009.37884274191,2025.89135376953,2042.35102911738,2059.41093882057
OFM_v2022_Medium,Employment,All Sectors w Military,Kitsap County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,107.179286375163,110.683277521889,112.401404985521,115.276467436285,115.570439065339,116.111295005225,116.178661440622,116.387344364352,116.749288153411,117.170442773061,117.689257395953,118.148966862947,118.518339295855,118.985391065749,119.480543937455,119.881432399023,120.254672732989,120.67000445759,121.129217714414,121.571102997146,121.989724494046,122.446696521766,122.89419121752,123.347989695118,123.815865592587,124.272480446941,124.702869187489,125.12776464935,125.567344302534
OFM_v2022_Medium,Employment,All Sectors w Military,Pierce County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,386.702769564702,397.009680519352,404.618596020397,415.252184205486,420.07532049544,422.001490412456,423.696051664079,426.09157249621,428.811474295919,431.773441589442,434.737291112465,437.784025418306,440.27877456898,443.042532063817,445.632722344487,447.999129943992,450.254464552618,452.562129851217,454.977470088336,457.432397631149,459.86302094096,462.262384094092,464.51103866005,466.822743824664,469.172131253355,471.541850759434,473.8331612405,476.091876641625,478.384781273364
OFM_v2022_Medium,Employment,All Sectors w Military,Region,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,2377.77133104249,2406.2470710858,2448.60265931135,2508.05582920611,2524.95720962598,2545.30504224796,2569.63155157941,2597.58167502431,2626.09939889013,2653.79063205437,2680.66670782895,2708.17223241605,2730.82398838924,2754.63374854783,2776.60249576681,2797.17804558932,2815.62972521316,2834.67813082903,2855.07081800732,2876.36528816876,2896.94967791607,2917.70653773395,2938.65542199373,2960.19403028417,2982.01970344351,3003.89769492193,3025.49144935868,3046.95917898472,3069.05972368376
OFM_v2022_Medium,Employment,All Sectors w Military,Snohomish County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,308.550704983633,322.311417438683,328.741139501459,337.266029134689,341.048685745301,344.080994749217,346.983674469427,350.298464800256,353.857590152173,357.310456975341,360.805707986955,363.971571635775,366.792711305548,369.681752561302,372.347216522731,374.749566692132,376.977308381572,379.298042811802,381.720086027896,384.188151412055,386.614593725034,389.097528692932,391.535784283077,394.063304022293,396.63032844897,399.169596778633,401.65616210193,404.109982734532,406.561065714155
OFM_v2022_Medium,Employment,All Sectors w Military REMI,King County,All Ages,All Races,Total,Thousands,1414.6728515625,1373.29711914062,1365.11975097656,1386.66711425781,1416.61389160156,1460.94104003906,1503.40075683594,1523.53527832031,1457.77099609375,1441.77819824219,1468.30676269531,1514.28002929687,1555.43994140625,1608.18884277344,1660.80517578125,1711.56201171875,1767.09606933594,1815.16516113281,1834.04174804687,1754.10913085938,1799.79077148438,1872.07604980469,1871.31005859375,1902.77416153096,1947.06778964195,1956.30073729537,1973.99441665718,1997.59685247473,2024.01913694015,2050.21209287591,2075.16392541928,2098.93977375492,2123.89125164176,2144.18593849443,2165.34346887064,2184.73364277894,2203.17263594077,2219.42879731236,2236.17010981274,2254.2252717834,2273.29096871741,2291.60671758362,2310.04744141134,2328.9798002359,2348.42615727415,2368.10523267123,2387.87399615774,2407.49687406179,2427.0569639325,2447.33035085712
OFM_v2022_Medium,Employment,All Sectors w Military REMI,Kitsap County,All Ages,All Races,Total,Thousands,113.167007446289,117.075012207031,119.297996520996,121.922012329102,124.982009887695,127.062004089355,127.592002868652,127.472007751465,123.188980102539,120.814994812012,120.714012145996,121.384002685547,121.568000793457,124.397987365723,127.312995910645,131.351989746094,132.190002441406,131.630996704102,131.681991577148,129.043014526367,131.387008666992,136.880004882812,141.354995727539,143.549237764084,147.22101591832,147.596450756349,148.287184630368,148.373219146159,148.639730713694,149.101973645974,149.639835469314,150.302420102189,150.889520802474,151.361250948568,151.957728595563,152.590094510555,153.102074170364,153.578744061194,154.109169392562,154.695636376642,155.259973588651,155.794600329299,156.378205011706,156.949706075125,157.529257777046,158.126787927657,158.709936459499,159.259591293936,159.802230593574,160.363623257298
OFM_v2022_Medium,Employment,All Sectors w Military REMI,Pierce County,All Ages,All Races,Total,Thousands,334.036010742188,337.916961669922,345.170013427734,355.306976318359,368.415985107422,380.234008789063,396.622955322266,397.504028320313,386.778015136719,381.748046875,382.589996337891,391.295043945313,397.271026611328,404.319061279297,413.634063720703,424.846984863281,438.819061279297,450.880035400391,458.982971191406,448.246978759766,465.891052246094,478.549987792969,491.304931640625,500.721069063798,513.880280470269,519.848977863566,522.232639587305,524.329682407017,527.294172333646,530.660088162266,534.325563363683,537.993367849953,541.76374339319,544.851029726684,548.27121758028,551.476613622805,554.405075524258,557.19608307417,560.051850571563,563.040867284037,566.078873830947,569.086803555756,572.056048407389,574.838789312764,577.699556199829,580.606955406167,583.539515837486,586.375044023587,589.170235350644,592.007736320095
OFM_v2022_Medium,Employment,All Sectors w Military REMI,Region,All Ages,All Races,Total,Thousands,2153.18894958496,2116.912109375,2121.3907699585,2162.8331451416,2223.97987365723,2296.84502410889,2380.08873748779,2399.82933807373,2305.79295349121,2275.54228973389,2310.99773406982,2380.06610107422,2434.75403594971,2504.67392730713,2581.43714141846,2658.3030090332,2734.7301940918,2798.64326477051,2828.95082092285,2720.02317810059,2791.31080627441,2896.00103759766,2930.68299865723,2982.2698883837,3054.68073776012,3075.26573455682,3100.04832976133,3129.67674496899,3163.7185325205,3198.45162767861,3232.17810041762,3264.9117541183,3298.41204352963,3326.00069679723,3354.99973855707,3381.75652290815,3406.81646574504,3429.28964583533,3452.48960695353,3477.32683266011,3503.26238284423,3528.33309224688,3553.61386116906,3579.12850581162,3605.3614034596,3631.943931094,3658.59017970289,3684.89024247092,3711.03681361518,3737.95412039919
OFM_v2022_Medium,Employment,All Sectors w Military REMI,Snohomish County,All Ages,All Races,Total,Thousands,291.313079833984,288.623016357422,291.803009033203,298.937042236328,313.967987060547,328.607971191406,352.473022460937,351.318023681641,338.054962158203,331.201049804687,339.386962890625,353.107025146484,360.475067138672,367.768035888672,379.684906005859,390.542022705078,396.625061035156,400.967071533203,404.244110107422,388.624053955078,394.241973876953,408.494995117188,426.713012695313,435.225420024856,446.51165172958,451.519568641531,455.534088886474,459.376990941088,463.765492533,468.477472994461,473.048776165346,477.676192411237,481.867527692208,485.602477627552,489.427323510582,492.956171995847,496.136680109647,499.086021387601,502.15847717666,505.365057216023,508.632566707225,511.844970778203,515.132166338626,518.360210187833,521.706432208568,525.104955088938,528.466731248166,531.758733091599,535.007383738455,538.252409964683
OFM_v2022_Medium,Employment,Const Res,King County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,93.494922016581,92.7878212866933,98.0772638360587,98.5237262712413,98.1132408900593,99.289318089792,100.47416054408,102.68238277074,105.004752752176,106.825749548789,108.469194233749,109.979338234165,111.287429313884,112.426525510558,113.518659105535,114.410307104326,114.990149475776,115.593340343842,116.452884011637,117.477959593568,118.399774744066,119.440244996685,120.496676479692,121.64896748892,122.79793943774,123.940008683906,125.042945049186,126.112264814543,127.26827121651
OFM_v2022_Medium,Employment,Const Res,Kitsap County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,5.96408963355,5.89055498203366,6.18044970209418,6.28253377277049,6.29049494184125,6.30579524337844,6.24041725552734,6.21253087050862,6.20930209171441,6.21391228790213,6.23659912487625,6.26025277105029,6.28218730922298,6.30955031323098,6.33827596477208,6.35082808081606,6.35838212367998,6.37096324800446,6.38809147552838,6.40182765502081,6.41487810049611,6.4345104595129,6.45081273005472,6.46763078101708,6.4877803679231,6.50542026625157,6.51898029526714,6.53095747925416,6.54455416933985
OFM_v2022_Medium,Employment,Const Res,Pierce County,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,30.998211110919,30.4720334152377,31.9587415082338,32.4372307437061,33.2643582756447,33.5500468640158,33.411713821487,33.4840034478359,33.6460114361549,33.8360904481584,34.0813332117103,34.3503224660834,34.5638716624275,34.7861684242044,34.996302241033,35.1368303801217,35.2439513615806,35.3681386033314,35.5079379467828,35.6486374360695,35.7885684797486,35.9437287542313,36.083915315708,36.2388929382802,36.4021786749402,36.5762715355544,36.7377360775556,36.8743747818534,37.004976884602
OFM_v2022_Medium,Employment,Const Res,Region,All Ages,All Races,Total,Thousands,,,,,,,,,,,,,,,,,,,,,,159.87234444885,159.290202404552,167.638021192724,169.355280593338,170.786740579085,172.904652501144,174.075681911544,176.622010060378,179.444971959423,181.759997335406,183.984256561993,186.045310554484,187.77620258311,189.335128152091,190.816175619844,191.92667317192,192.656730020449,193.465165071774,194.579225817792,195.864021060133,197.052388996435,198.411814290234,199.767189984196,201.258700702752,202.77043112098,204.277777813413,205.725664431577,207.105678970579,208.554281635131
